PI001	CRITICAL	123
PI002	CRITICAL	6
PI003	MEDIUM	13
PI004	CRITICAL	7
PI005	CRITICAL	9
PI006	HIGH	12
PI007	CRITICAL	12
PI008	HIGH	5
PI009	HIGH	9
PI010	MEDIUM	8
PI011	CRITICAL	4
PI012	HIGH	6
PI013	HIGH	4
PI014	MEDIUM	13
PI015	HIGH	21
PI016	HIGH	5
PI017	HIGH	18
PI018	HIGH	18
PI019	HIGH	5
PI020	CRITICAL	10
PI021	CRITICAL	23
PI022	CRITICAL	10
PI023	CRITICAL	12
PI024	CRITICAL	6
PI025	MEDIUM	2
PI026	HIGH	6
PI027	HIGH	6
PI028	CRITICAL	5
PI029	HIGH	11
PI030	HIGH	7
PI031	HIGH	7
PI032	HIGH	12
PI033	HIGH	7
PI034	MEDIUM	9
PI035	MEDIUM	5
PI036	HIGH	7
PI037	HIGH	2
PI038	MEDIUM	5
PI039	HIGH	20
PI040	MEDIUM	3
PI041	LOW	10
PI042	CRITICAL	1
PI043	CRITICAL	5
PI044	HIGH	3
PI045	MEDIUM	8
PI046	MEDIUM	9
PI047	MEDIUM	6
PI049	MEDIUM	5
PI050	CRITICAL	4
PI051	CRITICAL	4
PI052	CRITICAL	2
PI053	HIGH	9
PI054	HIGH	6
PI055	HIGH	15
PI056	HIGH	7
PI057	HIGH	8
